h,mag_z,mag_x
1.000000000000000000e+00,9.673142167685144788e-01,2.526744825105923242e-01
1.206896551724137900e+00,9.513441886376469148e-01,3.064969087121944824e-01
1.413793103448275801e+00,9.313913079184872323e-01,3.612962304434099159e-01
1.620689655172413701e+00,9.066848331319481424e-01,4.174624062431812055e-01
1.827586206896551602e+00,8.757971483942119661e-01,4.758342028766568976e-01
2.034482758620689502e+00,8.357645465602840940e-01,5.382523240335788106e-01
2.241379310344827402e+00,7.809395776609493467e-01,6.077942620864379419e-01
2.448275862068965303e+00,7.048938725040092557e-01,6.860625076818580581e-01
2.655172413793103203e+00,6.113922306232694170e-01,7.658321366828935162e-01
2.862068965517241104e+00,5.206075688853118999e-01,8.322575156828480036e-01
3.068965517241379448e+00,4.492428962721617403e-01,8.785726105911526584e-01
3.275862068965517349e+00,3.985402912922507701e-01,9.086349091769553299e-01
3.482758620689655249e+00,3.630613400293178916e-01,9.283233344893704331e-01
3.689655172413793149e+00,3.376624716742257504e-01,9.417577129390013457e-01
3.896551724137931050e+00,3.188668190335203212e-01,9.513561909607624045e-01
4.103448275862069394e+00,3.044965901371841088e-01,9.585026902122486536e-01
4.310344827586206407e+00,2.931888806341161335e-01,9.640096177656473087e-01
4.517241379310345195e+00,2.840702313702761495e-01,9.683736399746516454e-01
4.724137931034482207e+00,2.765634113343485856e-01,9.719116065654913594e-01
4.931034482758620996e+00,2.702749375578649693e-01,9.748338634214178677e-01
5.137931034482758896e+00,2.649287030422133871e-01,9.772851082084722529e-01
5.344827586206896797e+00,2.603258231728677319e-01,9.793680289701875985e-01
5.551724137931034697e+00,2.563196504367615813e-01,9.811575010208811731e-01
5.758620689655172598e+00,2.527997857687847572e-01,9.827094178737592056e-01
5.965517241379310498e+00,2.496815718037413423e-01,9.840663640816060820e-01
6.172413793103448398e+00,2.468990166170331180e-01,9.852613672436059122e-01
6.379310344827586299e+00,2.443999192731152736e-01,9.863204456507403961e-01
6.586206896551724199e+00,2.421424423505321721e-01,9.872643794965656472e-01
6.793103448275862100e+00,2.400926563705408079e-01,9.881099686868378695e-01
7.000000000000000000e+00,2.382227502749610093e-01,9.888709432645194086e-01
